wilayah_kode,wilayah,tahun,value
8100,MALUKU,2019,0.286
6400,KALIMANTAN TIMUR,2019,0.338
1300,SUMATERA BARAT,2019,0.319
9400,PAPUA,2019,0.394
1800,LAMPUNG,2019,0.349
7600,SULAWESI BARAT,2019,0.365
2100,KEP. RIAU,2019,0.265
3400,DI YOGYAKARTA,2019,0.428
8100,MALUKU,2019,0.32
9400,PAPUA,2019,0.391
7600,SULAWESI BARAT,2019,0.32
8100,MALUKU,2019,0.324
1400,RIAU,2019,0.284
7200,SULAWESI TENGAH,2019,0.287
5300,NUSA TENGGARA TIMUR,2019,0.313
1100,ACEH,2019,0.344
8100,MALUKU,2019,0.3
6300,KALIMANTAN SELATAN,2019,0.279
7100,SULAWESI UTARA,2019,0.375
3200,JAWA BARAT,2019,0.319
6100,KALIMANTAN BARAT,2019,0.344
1700,BENGKULU,2019,0.329
8200,MALUKU UTARA,2019,0.31
6500,KALIMANTAN UTARA,2019,0.287
1900,KEP. BANGKA BELITUNG,2019,0.278
7600,SULAWESI BARAT,2019,0.365
1400,RIAU,2019,0.331
5100,BALI,2019,0.313
3500,JAWA TIMUR,2019,0.379
5200,NUSA TENGGARA BARAT,2019,0.401
9999,INDONESIA,2019,0.317
5200,NUSA TENGGARA BARAT,2019,0.374
5100,BALI,2019,0.37
1700,BENGKULU,2019,0.286
